neighbourhood_group,neighbourhood,room_type,average_price,listings_count,average_minimum_nights,total_number_of_reviews,average_reviews_per_month
Manhattan,Roosevelt Island,Shared room,37.5,2,2.5,2,0.04
Manhattan,SoHo,Entire home/apt,357.453125,192,5.619791666666667,4329,1.0994791666666666
Manhattan,SoHo,Private room,126.96774193548387,93,3.4516129032258065,2842,1.2570967741935484
Manhattan,SoHo,Shared room,147.5,2,1.5,64,0.82
Manhattan,Stuyvesant Town,Entire home/apt,184.375,8,10.25,244,1.9775
Manhattan,Stuyvesant Town,Private room,94.86666666666666,15,5.533333333333333,58,0.6693333333333332
Manhattan,Theater District,Entire home/apt,302.83561643835617,73,13.0,1366,1.1445205479452054
Manhattan,Theater District,Private room,173.83561643835617,73,2.767123287671233,2856,4.015890410958905
Manhattan,Theater District,Shared room,79.0,2,2.0,120,1.605
Manhattan,Tribeca,Entire home/apt,556.0588235294117,85,7.482352941176471,1656,0.845764705882353
Manhattan,Tribeca,Private room,134.72,25,4.16,378,0.7979999999999999
Manhattan,Two Bridges,Entire home/apt,161.14285714285714,21,3.0476190476190474,660,1.7042857142857142
Manhattan,Two Bridges,Private room,101.25641025641026,39,4.076923076923077,1469,2.7676923076923075
Manhattan,Upper East Side,Entire home/apt,192.494,1000,9.347,19814,0.9298500000000001
Manhattan,Upper East Side,Private room,107.91327913279133,369,4.696476964769648,10942,1.4504065040650407
Manhattan,Upper East Side,Shared room,76.30555555555556,36,6.333333333333333,930,1.6280555555555556
Manhattan,Upper West Side,Entire home/apt,235.81303418803418,936,9.313034188034187,18578,0.825405982905983
